coverRef,receiptId,healthPremiumInclTax,healthTax,healthBrokerFee,healthHthc,expected_premium,diff
sub_Jqq5yF3toTLv4a-941000024876724,no_discount-in_1JD8PRF5i98BakySmkHYE1BY-941000024876724,21.99,1.886291209,3.2925,15.78,20.958791208999997,1.031208791000001
sub_Jqq5yF3toTLv4a-941000024876724,no_discount-in_1JONCQF5i98BakySHTv2mREz-941000024876724,21.99,1.886291209,3.2925,15.78,20.958791208999997,1.031208791000001
sub_Jqq5yF3toTLv4a-941000024876724,no_discount-in_1JZby3F5i98BakySOLTA79id-941000024876724,21.99,1.886291209,3.2925,15.78,20.958791208999997,1.031208791000001
sub_Jqq5yF3toTLv4a-941000024876724,no_discount-in_1JkUG6F5i98BakySG07fpeSR-941000024876724,21.99,1.886291209,3.2925,15.78,20.958791208999997,1.031208791000001
sub_Jqq5yF3toTLv4a-941000024876724,no_discount-in_1Jvj1wF5i98BakySA2i38SLv-941000024876724,21.99,1.886291209,3.2925,15.78,20.958791208999997,1.031208791000001
sub_1K2CaBF5i98BakySBaqEb4L0-250268732430818,no_discount-2CCBD08A-10313-0,26.99,2.337527473,5.625,18.01,25.972527473,1.017472526999999
sub_1K3dx3F5i98BakySPVkHAoe2-250268710397597,no_discount-2CCBD08A-10961-0,37.99,3.229120879,11.0,21.65,35.879120879,2.1108791210000035
sub_K4M8KkH8qlDU2B-276098106263489,no_discount-2CCBD08A-12920-0,22.99,1.859340659,2.29,16.51,20.659340659,2.330659340999997
sub_K4M8KkH8qlDU2B-276098106263489,no_discount-in_1JQDPzF5i98BakySP4X6UPaW-276098106263489,22.99,1.859340659,2.29,16.51,20.659340659,2.330659340999997
sub_K4M8KkH8qlDU2B-276098106263489,no_discount-in_1JbSC9F5i98BakySwYNTFBJD-276098106263489,22.99,1.859340659,2.29,16.51,20.659340659,2.330659340999997
sub_K4M8KkH8qlDU2B-276098106263489,no_discount-in_1JmKUYF5i98BakyS1UtusrVR-276098106263489,22.99,1.859340659,2.29,16.51,20.659340659,2.330659340999997
sub_K4M8KkH8qlDU2B-276098106263489,no_discount-in_1JxZHHF5i98BakySFRQvycqN-276098106263489,22.99,1.859340659,2.29,16.51,20.659340659,2.330659340999997
sub_KBwFkHDjFDtwfC-250268743939773,no_discount-2CCBD08A-11451-0,33.99,2.627554945,6.4575,20.11,29.195054945,4.794945055000003
sub_KBwFkHDjFDtwfC-250268743939773,no_discount-in_1JXYNSF5i98BakyS40jEtIAc-250268743939773,33.99,2.627554945,6.4575,20.11,29.195054945,4.794945055000003
sub_KBwFkHDjFDtwfC-250268743939773,no_discount-in_1JiQh7F5i98BakyS8hVH8ChQ-250268743939773,33.99,2.627554945,6.4575,20.11,29.195054945,4.794945055000003
sub_KBwFkHDjFDtwfC-250268743939773,no_discount-in_1JtfSdF5i98BakySn1Jd6f1Q-250268743939773,33.99,2.627554945,6.4575,20.11,29.195054945,4.794945055000003
sub_1K4NKMF5i98BakySVzGzUOsh-250269802767633,no_discount-2CCBD08A-11322-0,29.99,2.592362637,6.491666667,19.72,28.804029303999997,1.1859706960000018
sub_1K6yDRF5i98BakySBxHQ8Kas-250268731650173,no_discount-2CCBD08A-12346-0,39.99,3.457417582,8.658333333,26.3,38.415750915000004,1.5742490849999982
sub_1K350bF5i98BakySa5EgA02m-953000010324215,no_discount-2CCBD08A-10768-0,29.99,2.592362637,6.491666667,19.72,28.804029303999997,1.1859706960000018
sub_1KC3VyF5i98BakySUSemhoxY-0,no_discount-2CCBD08A-14236-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1K5xx3F5i98BakySBCux6uhA-250268501417021,no_discount-2CCBD08A-11969-0,33.99,2.952857143,6.616666667,23.24,32.80952381,1.1804761900000003
sub_1K5Xt9F5i98BakySuW3KGJpL-250268501797272,no_discount-2CCBD08A-11804-0,31.99,2.780769231,6.166666667,21.95,30.897435897999998,1.0925641020000008
sub_1K2FCYF5i98BakySdjhahZA6-250268600074683,no_discount-2CCBD08A-10353-0,32.99,2.852472527,7.141666667,21.7,31.694139194,1.2958608060000003
